y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
13.0,3.2666666666666666,0,0,0.0,0.0,0.0,0.0,0.7447233133310223,0.7339498386118297
13.25,3.2333333333333334,0,0,0.0,0.0,0.0,0.0,0.7552469164513415,0.7460268677515409
13.5,3.2,0,0,0.0,0.0,0.0,0.0,0.7176189345816448,0.7108124572827251
13.75,3.166666666666667,0,0,0.0,0.0,0.0,0.0,0.6973405779722905,0.6926854663865516
14.0,3.1333333333333333,0,0,0.0,0.0,0.0,0.0,0.7199981608404069,0.7167092862740579
14.25,3.1,0,0,0.0,0.0,0.0,0.0,0.703565679718785,0.7023921518443452
14.5,3.0666666666666664,0,0,0.0,0.0,0.0,0.0,0.686100437742841,0.6870820035309977
14.75,3.033333333333333,0,0,0.0,0.0,0.0,0.0,0.6486309741897024,0.6521643673244217
15.0,3.0,0,0,0.0,0.0,0.0,0.0,0.6241426291774433,0.6299605574844089
15.25,2.9615384615384617,0,0,0.0,0.0,0.0,0.0,0.5838391313807857,0.5924072584820084
15.5,2.923076923076923,0,0,0.0,0.0,0.0,0.0,0.5878303175041695,0.5984689380721958
15.75,2.8846153846153846,0,0,0.0,0.0,0.0,0.0,0.5604769934858338,0.5735830201878838
16.0,2.8461538461538463,0,0,0.0,0.0,0.0,0.0,0.5321755681619984,0.5476531583583076
16.25,2.8076923076923075,0,0,0.0,0.0,0.0,0.0,0.4860031098283597,0.5111067184129434
16.5,2.769230769230769,0,0,0.0,0.0,0.0,0.0,0.4763018648566696,0.5034655056830522
16.75,2.730769230769231,0,0,0.0,0.0,0.0,0.0,0.4663528658649728,0.4955400292240113
17.0,2.6923076923076925,0,0,0.0,0.0,0.0,0.0,0.4561684312470533,0.48733582305609874
17.25,2.6538461538461537,0,0,0.0,0.0,0.0,0.0,0.4384951234042248,0.4788615613326866
17.5,2.6153846153846154,0,0,0.0,0.0,0.0,0.0,0.42790662604529145,0.47012358935433346
17.75,2.5769230769230766,0,0,0.0,0.0,0.0,0.0,0.4099794037168428,0.4611315259388259
18.0,2.5384615384615383,1,0,194.0,0.0,102.0,0.0,0.3850183450140846,0.45189348112549227
18.25,2.5,1,0,188.0,0.0,96.0,0.0,0.3402193570116146,0.4351470998938399
18.5,2.4615384615384617,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,2.423076923076923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,2.3846153846153846,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19.25,2.3461538461538463,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,2.3076923076923075,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19.75,2.269230769230769,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,2.230769230769231,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20.25,2.1923076923076925,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20.5,2.1538461538461537,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20.75,2.1153846153846154,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2.0769230769230766,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21.25,2.0384615384615383,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21.75,1.9615384615384615,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.923076923076923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22.25,1.8846153846153846,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,1.846153846153846,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22.75,1.8076923076923077,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,1.7692307692307692,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23.25,1.7307692307692306,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23.5,1.6923076923076923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23.75,1.6538461538461537,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1.6153846153846154,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24.25,1.5769230769230769,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24.5,1.5384615384615383,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24.75,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,1.4615384615384615,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25.25,1.423076923076923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25.5,1.3846153846153846,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,1.346153846153846,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1.3076923076923075,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26.25,1.2692307692307692,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26.5,1.2307692307692306,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,1.1923076923076923,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,1.1538461538461537,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27.25,1.1153846153846152,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27.5,1.0769230769230769,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27.75,1.0384615384615383,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28.25,0.9821428571428571,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28.5,0.9642857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28.75,0.9464285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.9285714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29.25,0.9107142857142857,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29.5,0.8928571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29.75,0.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.8571428571428572,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30.25,0.8392857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
